_,ST,StateFIPS,Deaths,Population,U_A_Rate,U_C_Rate,_,,,,,,,,,,,,ST,StateFIPS,Deaths,Population,U_A_Rate,U_C_Rate
,NJ,34,1194,60884685,1.863129139,1.961084302,,,,,,,,,,,,,,,,,,
,NM,35,1347,13894932,9.602856059,9.694182023,,,,,,,,,,,,,,,,,,
,NY,36,3020,134438747,2.146650332,2.246376188,,,,,,,,,,,,,,,,,,
,NC,37,4561,63588364,7.029915896,7.172695935,,,,,,,,,,,,,,,,,,
,ND,38,348,4588166,7.245605727,7.584729933,,,,,,,,,,,,,,,,,,
,OH,39,4608,80478043,5.530148211,5.725785355,,,,,,,,,,,,,,,,,,
,OK,40,2328,25440168,9.019975566,9.150882966,,,,,,,,,,,,,,,,,,
,OR,41,2292,25984387,8.349874904,8.820681435,,,,,,,,,,,,,,,,,,
,PA,42,5300,87916980,5.703529372,6.028414534,,,,,,,,,,,,,,,,,,
,RI,44,185,7424122,2.345063455,2.491877154,,,,,,,,,,,,,,,,,,
,SC,45,2380,31027260,7.429808758,7.67067411,,,,,,,,,,,,,,,,,,
,SD,46,441,5540916,7.846427434,7.958972849,,,,,,,,,,,,,,,,,,
,TN,47,3960,43065894,8.92712614,9.195211413,,,,,,,,,,,,,,,,,,
,TX,48,10212,166620070,6.384445065,6.128913522,,,,,,,,,,,,,,,,,,
,UT,49,1447,18132887,8.765772219,7.979975831,,,,,,,,,,,,,,,,,,
,VT,50,347,4362217,7.407121685,7.954670756,,,,,,,,,,,,,,,,,,
,VA,51,3618,54237862,6.497563041,6.670616921,,,,,,,,,,,,,,,,,,
,WA,53,3004,45222487,6.481220289,6.642712949,,,,,,,,,,,,,,,,,,
,WV,54,1324,12839973,9.725014169,10.31154816,,,,,,,,,,,,,,,,,,
,WI,55,2314,39245868,5.7446526,5.896162113,,,,,,,,,,,,,,,,,,
,WY,56,495,3750326,12.98808732,13.19885258,,,,,,,,,,,,,,,,,,
